age_group,education,gender,nationality,electoral_district,unit,N
18-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,404
18-24,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,48
18-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,429
18-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,510
18-24,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,65
18-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,704
18-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,300
18-24,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,40
18-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,381
18-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,522
18-24,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,44
18-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,622
18-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,506
18-24,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,61
18-24,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,555
18-24,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,542
18-24,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,83
18-24,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,615
18-24,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,228
18-24,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,31
18-24,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,275
18-24,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,383
18-24,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,40
18-24,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,482
18-24,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,2111
18-24,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,177
18-24,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,2997
18-24,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,145
18-24,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,12
