VANUS,SUGU,RAHVUS_3,CODE,MK_NIMI,Piirkonna_NIMI,HARIDUS_4,n
18-24,Mehed,Eestlased,1,Harju maakond,Haabersti linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,404
18-24,Mehed,Eestlased,1,Harju maakond,Haabersti linnaosa,Kõrgharidus,48
18-24,Mehed,Eestlased,1,Harju maakond,Haabersti linnaosa,Põhiharidus või madalam,429
18-24,Mehed,Eestlased,1,Harju maakond,Kesklinna linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,510
18-24,Mehed,Eestlased,1,Harju maakond,Kesklinna linnaosa,Kõrgharidus,65
18-24,Mehed,Eestlased,1,Harju maakond,Kesklinna linnaosa,Põhiharidus või madalam,704
18-24,Mehed,Eestlased,1,Harju maakond,Kristiine linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,300
18-24,Mehed,Eestlased,1,Harju maakond,Kristiine linnaosa,Kõrgharidus,40
18-24,Mehed,Eestlased,1,Harju maakond,Kristiine linnaosa,Põhiharidus või madalam,381
18-24,Mehed,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,522
18-24,Mehed,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Kõrgharidus,44
18-24,Mehed,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Põhiharidus või madalam,622
18-24,Mehed,Eestlased,1,Harju maakond,Mustamäe linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,506
18-24,Mehed,Eestlased,1,Harju maakond,Mustamäe linnaosa,Kõrgharidus,61
18-24,Mehed,Eestlased,1,Harju maakond,Mustamäe linnaosa,Põhiharidus või madalam,555
18-24,Mehed,Eestlased,1,Harju maakond,Nõmme linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,542
18-24,Mehed,Eestlased,1,Harju maakond,Nõmme linnaosa,Kõrgharidus,83
18-24,Mehed,Eestlased,1,Harju maakond,Nõmme linnaosa,Põhiharidus või madalam,615
18-24,Mehed,Eestlased,1,Harju maakond,Pirita linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,228
18-24,Mehed,Eestlased,1,Harju maakond,Pirita linnaosa,Kõrgharidus,31
18-24,Mehed,Eestlased,1,Harju maakond,Pirita linnaosa,Põhiharidus või madalam,275
18-24,Mehed,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,383
18-24,Mehed,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Kõrgharidus,40
18-24,Mehed,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Põhiharidus või madalam,482
18-24,Mehed,Eestlased,37,Harju maakond,Harju maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,2111
18-24,Mehed,Eestlased,37,Harju maakond,Harju maakond,Kõrgharidus,177
18-24,Mehed,Eestlased,37,Harju maakond,Harju maakond,Põhiharidus või madalam,2997
18-24,Mehed,Eestlased,39,Hiiu maakond,Hiiu maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,145
18-24,Mehed,Eestlased,39,Hiiu maakond,Hiiu maakond,Kõrgharidus,12
18-24,Mehed,Eestlased,39,Hiiu maakond,Hiiu maakond,Põhiharidus või madalam,152
18-24,Mehed,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,591
18-24,Mehed,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Kõrgharidus,43
18-24,Mehed,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Põhiharidus või madalam,575
18-24,Mehed,Eestlased,50,Jõgeva maakond,Jõgeva maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,422
18-24,Mehed,Eestlased,50,Jõgeva maakond,Jõgeva maakond,Kõrgharidus,28
18-24,Mehed,Eestlased,50,Jõgeva maakond,Jõgeva maakond,Põhiharidus või madalam,537
18-24,Mehed,Eestlased,52,Järva maakond,Järva maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,422
18-24,Mehed,Eestlased,52,Järva maakond,Järva maakond,Kõrgharidus,31
18-24,Mehed,Eestlased,52,Järva maakond,Järva maakond,Põhiharidus või madalam,612
18-24,Mehed,Eestlased,56,Lääne maakond,Lääne maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,268
18-24,Mehed,Eestlased,56,Lääne maakond,Lääne maakond,Kõrgharidus,16
18-24,Mehed,Eestlased,56,Lääne maakond,Lääne maakond,Põhiharidus või madalam,347
18-24,Mehed,Eestlased,60,Lääne-Viru maakond,Lääne-Viru maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,864
18-24,Mehed,Eestlased,60,Lääne-Viru maakond,Lääne-Viru maakond,Kõrgharidus,59
18-24,Mehed,Eestlased,60,Lääne-Viru maakond,Lääne-Viru maakond,Põhiharidus või madalam,1056
18-24,Mehed,Eestlased,64,Põlva maakond,Põlva maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,353
18-24,Mehed,Eestlased,64,Põlva maakond,Põlva maakond,Kõrgharidus,21
18-24,Mehed,Eestlased,64,Põlva maakond,Põlva maakond,Põhiharidus või madalam,470
18-24,Mehed,Eestlased,68,Pärnu maakond,Pärnu maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,1209
18-24,Mehed,Eestlased,68,Pärnu maakond,Pärnu maakond,Kõrgharidus,93
18-24,Mehed,Eestlased,68,Pärnu maakond,Pärnu maakond,Põhiharidus või madalam,1525
18-24,Mehed,Eestlased,71,Rapla maakond,Rapla maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,507
18-24,Mehed,Eestlased,71,Rapla maakond,Rapla maakond,Kõrgharidus,24
18-24,Mehed,Eestlased,71,Rapla maakond,Rapla maakond,Põhiharidus või madalam,674
18-24,Mehed,Eestlased,74,Saare maakond,Saare maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,449
18-24,Mehed,Eestlased,74,Saare maakond,Saare maakond,Kõrgharidus,33
18-24,Mehed,Eestlased,74,Saare maakond,Saare maakond,Põhiharidus või madalam,572
18-24,Mehed,Eestlased,79,Tartu maakond,Tartu linn,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,1133
18-24,Mehed,Eestlased,79,Tartu maakond,Tartu linn,Kõrgharidus,137
18-24,Mehed,Eestlased,79,Tartu maakond,Tartu linn,Põhiharidus või madalam,1468
18-24,Mehed,Eestlased,79,Tartu maakond,Tartu maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,901
18-24,Mehed,Eestlased,79,Tartu maakond,Tartu maakond,Kõrgharidus,73
18-24,Mehed,Eestlased,79,Tartu maakond,Tartu maakond,Põhiharidus või madalam,1236
18-24,Mehed,Eestlased,81,Valga maakond,Valga maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,376
18-24,Mehed,Eestlased,81,Valga maakond,Valga maakond,Kõrgharidus,19
18-24,Mehed,Eestlased,81,Valga maakond,Valga maakond,Põhiharidus või madalam,495
18-24,Mehed,Eestlased,84,Viljandi maakond,Viljandi maakond,Keskharidus või kutseharidus/keskeriharidus keskhariduse baasil,738
18-24,Mehed,Eestlased,84,Viljandi maakond,Viljandi maakond,Kõrgharidus,37
18-24,Mehed,Eestlased,84,Viljandi maakond,Viljandi maakond,Põhiharidus või madalam,842
