date,methods,wave,age,age_group,education,gender,nationality,municipality,electoral_district,citizen,voting_intent
2023-02-01 10:52:00,Cati,22,33.0,25-34,Basic education,Male,Estonian,Tartumaa,Jõgeva- ja Tartumaa,True,Yes
2023-02-01 11:09:00,Cati,22,61.0,55-64,Secondary education,Male,Estonian,Raplamaa,Harju- ja Raplamaa,True,Yes
2023-02-01 11:17:00,Cati,22,69.0,65-74,Secondary education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 11:26:00,Cati,22,71.0,65-74,Secondary education,Female,Estonian,Saaremaa,"Hiiu-, Lääne- ja Saaremaa",True,Yes
2023-02-01 11:28:00,Cati,22,61.0,55-64,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,True,Yes
2023-02-01 11:37:00,Cati,22,60.0,55-64,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,False,No
2023-02-01 11:44:00,Cati,22,52.0,45-54,Higher education,Female,Estonian,Nõmme,Mustamäe ja Nõmme,True,Yes
2023-02-01 12:13:00,Cati,22,63.0,55-64,Secondary education,Female,Other,Põhja-Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-01 12:03:00,Cati,22,77.0,75+,Basic education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 12:05:00,Cati,22,54.0,45-54,Secondary education,Male,Estonian,Järvamaa,Järva- ja Viljandimaa,True,No
2023-02-01 12:28:00,Cati,22,63.0,55-64,Higher education,Female,Other,Haabersti,"Haabersti, Põhja-Tallinn ja Kristiine",True,No
2023-02-01 12:39:00,Cati,22,49.0,45-54,Higher education,Female,Estonian,Raplamaa,Harju- ja Raplamaa,True,Yes
2023-02-01 12:44:00,Cati,22,56.0,55-64,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 12:49:00,Cati,22,48.0,45-54,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,No
2023-02-01 13:00:00,Cati,22,31.0,25-34,Secondary education,Male,Estonian,Valgamaa,"Võru-, Valga- ja Põlvamaa",True,No
2023-02-01 13:04:00,Cati,22,85.0,75+,Higher education,Female,Estonian,Läänemaa,"Hiiu-, Lääne- ja Saaremaa",True,Yes
2023-02-01 13:05:00,Cati,22,43.0,35-44,Higher education,Male,Other,Kristiine,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-01 13:21:00,Cati,22,33.0,25-34,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 13:22:00,Cati,22,67.0,65-74,Secondary education,Female,Estonian,Järvamaa,Järva- ja Viljandimaa,True,Yes
2023-02-01 13:29:00,Cati,22,40.0,35-44,Higher education,Female,Estonian,Tartumaa,Jõgeva- ja Tartumaa,True,Yes
2023-02-01 13:31:00,Cati,22,52.0,45-54,Higher education,Male,Other,Haabersti,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-01 13:37:00,Cati,22,47.0,45-54,Secondary education,Male,Estonian,Kesklinn,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-01 13:45:00,Cati,22,61.0,55-64,Higher education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 13:50:00,Cati,22,86.0,75+,Secondary education,Female,Estonian,Viljandimaa,Järva- ja Viljandimaa,True,Yes
2023-02-01 13:46:00,Cati,22,46.0,45-54,Higher education,Female,Estonian,Pärnumaa,Pärnumaa,True,Yes
2023-02-01 13:51:00,Cati,22,67.0,65-74,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-01 13:54:00,Cati,22,43.0,35-44,Higher education,Male,Estonian,Tartu linn,Tartu linn,True,Yes
