VANUS,SUGU,RAHVUS_3,CODE,MK_NIMI,Piirkonna_NIMI,HARIDUS_4,n
0-15,Mehed,Eestlased,1,Harju maakond,Haabersti linnaosa,Haridustase teadmata,2203
0-15,Mehed,Eestlased,1,Harju maakond,Haabersti linnaosa,Põhiharidus või madalam,158
0-15,Mehed,Eestlased,1,Harju maakond,Kesklinna linnaosa,Haridustase teadmata,4315
0-15,Mehed,Eestlased,1,Harju maakond,Kesklinna linnaosa,Põhiharidus või madalam,274
0-15,Mehed,Eestlased,1,Harju maakond,Kristiine linnaosa,Haridustase teadmata,2142
0-15,Mehed,Eestlased,1,Harju maakond,Kristiine linnaosa,Põhiharidus või madalam,128
0-15,Mehed,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Haridustase teadmata,2616
0-15,Mehed,Eestlased,1,Harju maakond,Lasnamäe linnaosa,Põhiharidus või madalam,179
0-15,Mehed,Eestlased,1,Harju maakond,Mustamäe linnaosa,Haridustase teadmata,3267
0-15,Mehed,Eestlased,1,Harju maakond,Mustamäe linnaosa,Põhiharidus või madalam,196
0-15,Mehed,Eestlased,1,Harju maakond,Nõmme linnaosa,Haridustase teadmata,2558
0-15,Mehed,Eestlased,1,Harju maakond,Nõmme linnaosa,Põhiharidus või madalam,194
0-15,Mehed,Eestlased,1,Harju maakond,Pirita linnaosa,Haridustase teadmata,1218
0-15,Mehed,Eestlased,1,Harju maakond,Pirita linnaosa,Põhiharidus või madalam,89
0-15,Mehed,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Haridustase teadmata,3074
0-15,Mehed,Eestlased,1,Harju maakond,Põhja-Tallinna linnaosa,Põhiharidus või madalam,152
0-15,Mehed,Eestlased,37,Harju maakond,"Harju maakond, v.a Tallinn",Haridustase teadmata,16426
0-15,Mehed,Eestlased,37,Harju maakond,"Harju maakond, v.a Tallinn",Põhiharidus või madalam,1122
0-15,Mehed,Eestlased,39,Hiiu maakond,Hiiu maakond,Haridustase teadmata,552
0-15,Mehed,Eestlased,39,Hiiu maakond,Hiiu maakond,Põhiharidus või madalam,44
0-15,Mehed,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Haridustase teadmata,1917
0-15,Mehed,Eestlased,45,Ida-Viru maakond,Ida-Viru maakond,Põhiharidus või madalam,146
0-15,Mehed,Eestlased,50,Jõgeva maakond,Jõgeva maakond,Haridustase teadmata,1892
0-15,Mehed,Eestlased,50,Jõgeva maakond,Jõgeva maakond,Põhiharidus või madalam,134
0-15,Mehed,Eestlased,52,Järva maakond,Järva maakond,Haridustase teadmata,2250
0-15,Mehed,Eestlased,52,Järva maakond,Järva maakond,Põhiharidus või madalam,164
0-15,Mehed,Eestlased,56,Lääne maakond,Lääne maakond,Haridustase teadmata,1522
0-15,Mehed,Eestlased,56,Lääne maakond,Lääne maakond,Põhiharidus või madalam,105
0-15,Mehed,Eestlased,60,Lääne-Viru maakond,Lääne-Viru maakond,Haridustase teadmata,4427
0-15,Mehed,Eestlased,60,Lääne-Viru maakond,Lääne-Viru maakond,Põhiharidus või madalam,327
0-15,Mehed,Eestlased,64,Põlva maakond,Põlva maakond,Haridustase teadmata,1747
0-15,Mehed,Eestlased,64,Põlva maakond,Põlva maakond,Põhiharidus või madalam,121
0-15,Mehed,Eestlased,68,Pärnu maakond,Pärnu maakond,Haridustase teadmata,6612
0-15,Mehed,Eestlased,68,Pärnu maakond,Pärnu maakond,Põhiharidus või madalam,424
0-15,Mehed,Eestlased,71,Rapla maakond,Rapla maakond,Haridustase teadmata,2846
0-15,Mehed,Eestlased,71,Rapla maakond,Rapla maakond,Põhiharidus või madalam,191
0-15,Mehed,Eestlased,74,Saare maakond,Saare maakond,Haridustase teadmata,2457
0-15,Mehed,Eestlased,74,Saare maakond,Saare maakond,Põhiharidus või madalam,178
0-15,Mehed,Eestlased,79,Tartu maakond,Tartu linn,Haridustase teadmata,7329
0-15,Mehed,Eestlased,79,Tartu maakond,Tartu linn,Põhiharidus või madalam,456
0-15,Mehed,Eestlased,79,Tartu maakond,"Tartu maakond, v.a Tartu linn",Haridustase teadmata,6078
0-15,Mehed,Eestlased,79,Tartu maakond,"Tartu maakond, v.a Tartu linn",Põhiharidus või madalam,342
0-15,Mehed,Eestlased,81,Valga maakond,Valga maakond,Haridustase teadmata,1646
0-15,Mehed,Eestlased,81,Valga maakond,Valga maakond,Põhiharidus või madalam,124
0-15,Mehed,Eestlased,84,Viljandi maakond,Viljandi maakond,Haridustase teadmata,3522
0-15,Mehed,Eestlased,84,Viljandi maakond,Viljandi maakond,Põhiharidus või madalam,228
0-15,Mehed,Eestlased,87,Võru maakond,Võru maakond,Haridustase teadmata,2499
0-15,Mehed,Eestlased,87,Võru maakond,Võru maakond,Põhiharidus või madalam,183
0-15,Mehed,Muud rahvused,1,Harju maakond,Haabersti linnaosa,Haridustase teadmata,1768
0-15,Mehed,Muud rahvused,1,Harju maakond,Haabersti linnaosa,Põhiharidus või madalam,115
0-15,Mehed,Muud rahvused,1,Harju maakond,Kesklinna linnaosa,Haridustase teadmata,1275
0-15,Mehed,Muud rahvused,1,Harju maakond,Kesklinna linnaosa,Põhiharidus või madalam,69
0-15,Mehed,Muud rahvused,1,Harju maakond,Kristiine linnaosa,Haridustase teadmata,567
0-15,Mehed,Muud rahvused,1,Harju maakond,Kristiine linnaosa,Põhiharidus või madalam,31
0-15,Mehed,Muud rahvused,1,Harju maakond,Lasnamäe linnaosa,Haridustase teadmata,6202
0-15,Mehed,Muud rahvused,1,Harju maakond,Lasnamäe linnaosa,Põhiharidus või madalam,381
0-15,Mehed,Muud rahvused,1,Harju maakond,Mustamäe linnaosa,Haridustase teadmata,1868
0-15,Mehed,Muud rahvused,1,Harju maakond,Mustamäe linnaosa,Põhiharidus või madalam,97
0-15,Mehed,Muud rahvused,1,Harju maakond,Nõmme linnaosa,Haridustase teadmata,295
0-15,Mehed,Muud rahvused,1,Harju maakond,Nõmme linnaosa,Põhiharidus või madalam,18
0-15,Mehed,Muud rahvused,1,Harju maakond,Pirita linnaosa,Haridustase teadmata,430
0-15,Mehed,Muud rahvused,1,Harju maakond,Pirita linnaosa,Põhiharidus või madalam,29
0-15,Mehed,Muud rahvused,1,Harju maakond,Põhja-Tallinna linnaosa,Haridustase teadmata,1487
0-15,Mehed,Muud rahvused,1,Harju maakond,Põhja-Tallinna linnaosa,Põhiharidus või madalam,121
0-15,Mehed,Muud rahvused,37,Harju maakond,"Harju maakond, v.a Tallinn",Haridustase teadmata,2741
0-15,Mehed,Muud rahvused,37,Harju maakond,"Harju maakond, v.a Tallinn",Põhiharidus või madalam,154
0-15,Mehed,Muud rahvused,39,Hiiu maakond,Hiiu maakond,Haridustase teadmata,3
